City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boa vista,2.8197,-60.6733,36.99,36,75,2.06,BR,1695756459
1,enewetak,11.3474,162.3373,28.43,78,100,6.11,MH,1695756077
2,whitehorse,60.7161,-135.0538,5.43,89,100,2.57,CA,1695756222
3,ribeira grande,38.5167,-28.7,23.22,94,40,7.72,PT,1695756203
4,hermanus,-34.4187,19.2345,13.42,82,0,3.54,ZA,1695756207
5,guanare,9.0418,-69.7421,33.71,51,73,2.21,VE,1695756461
6,edinburgh of the seven seas,-37.0676,-12.3116,13.25,73,0,8.71,SH,1695756208
7,sola,-13.8833,167.55,24.99,78,100,11.5,VU,1695756350
8,olonkinbyen,70.9221,-8.7187,3.93,84,92,7.46,SJ,1695756220
9,huarmey,-10.0681,-78.1522,22.36,70,0,5.98,PE,1695756462
10,kodiak,57.79,-152.4072,9.73,53,0,4.12,US,1695756212
11,punta arenas,-53.15,-70.9167,10.01,61,75,11.32,CL,1695755962
12,port douglas,-16.4833,145.4667,21.91,81,98,6.36,AU,1695756464
13,shingu,33.7333,135.9833,21.94,89,5,1.77,JP,1695756464
14,bethel,41.3712,-73.414,17.98,69,75,3.6,US,1695756201
15,praia da vitoria,38.7333,-27.0667,23.14,88,40,8.96,PT,1695756261
16,srivardhan,18.0333,73.0167,26.69,90,100,2.92,IN,1695756465
17,port-aux-francais,-49.35,70.2167,1.97,82,98,16.88,TF,1695756202
18,hithadhoo,-0.6,73.0833,27.82,75,0,5.62,MV,1695756185
19,guerrero negro,27.9769,-114.0611,23.9,64,0,8.36,MX,1695756466
20,margaret river,-33.95,115.0667,11.37,66,0,3.25,AU,1695756237
21,yellowknife,62.456,-114.3525,8.56,100,100,7.15,CA,1695756179
22,port mathurin,-19.6833,63.4167,22.92,65,2,9.37,MU,1695756275
23,hawaiian paradise park,19.5933,-154.9731,25.73,86,100,2.06,US,1695756190
24,lorengau,-2.0226,147.2712,24.11,96,100,0.43,PG,1695756279
25,pechora,65.1472,57.2244,9.57,93,100,4.78,RU,1695756468
26,adamstown,-25.066,-130.1015,21.01,72,100,7.27,PN,1695756185
27,izberbash,42.5696,47.8645,15.03,67,30,2.73,RU,1695756469
28,makarov,48.6333,142.8,11.5,91,97,2.97,RU,1695756469
29,jayapura,-2.5333,140.7,24.66,95,100,1.86,ID,1695756470
30,carnot,4.9409,15.8665,23.12,89,45,0.65,CF,1695756470
31,chonchi,-42.6128,-73.8092,10.62,75,100,3.35,CL,1695756259
32,ust-nera,64.5667,143.2,0.58,93,100,3.33,RU,1695756186
33,ushuaia,-54.8,-68.3,7.79,87,75,11.83,AR,1695756035
34,happy valley-goose bay,53.3168,-60.3315,12.17,66,100,1.54,CA,1695756257
35,paita,-5.0892,-81.1144,23.45,70,14,7.89,PE,1695756472
36,grytviken,-54.2811,-36.5092,-0.37,81,18,3.43,GS,1695756187
37,mogadishu,2.0371,45.3438,25.79,85,21,7.11,SO,1695756314
38,isla vista,34.4133,-119.861,30.55,59,0,2.57,US,1695756473
39,waitangi,-43.9535,-176.5597,12.12,98,100,2.24,NZ,1695756209
40,tazovsky,67.4667,78.7,3.68,73,100,9.17,RU,1695756188
41,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,87,0,2.0,RU,1695756216
42,dunda,-8.1167,34.25,25.01,43,94,2.97,TZ,1695756474
43,buka,40.8108,69.1986,18.24,25,0,2.46,UZ,1695756263
44,constantia,44.1833,28.65,21.5,69,28,8.33,RO,1695756125
45,mrakovo,52.7161,56.6244,10.67,83,5,2.13,RU,1695756475
46,nadym,65.5333,72.5167,3.59,85,100,4.59,RU,1695756475
47,margate,51.3813,1.3862,17.17,84,11,1.34,GB,1695756358
48,new norfolk,-42.7826,147.0587,6.51,98,47,1.53,AU,1695756333
49,iqaluit,63.7506,-68.5145,5.85,75,100,2.57,CA,1695756199
50,kirakira,-10.4544,161.9205,24.79,84,78,4.99,SB,1695756477
51,aasiaat,68.7098,-52.8699,0.2,78,93,5.3,GL,1695756237
52,invercargill,-46.4,168.35,2.28,95,25,2.57,NZ,1695756220
53,anadyr,64.75,177.4833,-0.72,93,40,2.0,RU,1695756264
54,tyazhinskiy,56.116,88.524,3.43,87,8,1.96,RU,1695756478
55,bilibino,68.0546,166.4372,-4.49,90,100,1.63,RU,1695756193
56,sao joao da barra,-21.6403,-41.0511,28.05,81,33,6.44,BR,1695756387
57,piacabucu,-10.4056,-36.4344,27.25,70,100,5.86,BR,1695756401
58,klyuchi,52.2667,79.1667,5.53,75,3,3.36,RU,1695756327
59,rio gallegos,-51.6226,-69.2181,11.03,46,20,4.12,AR,1695756480
60,laredo,27.5064,-99.5075,35.14,40,0,2.57,US,1695756480
61,uturoa,-16.7333,-151.4333,25.45,78,34,5.92,PF,1695756200
62,tura,25.5198,90.2201,23.3,94,14,0.89,IN,1695756384
63,remire-montjoly,4.9167,-52.2667,29.02,70,97,1.03,GF,1695756272
64,palmer,42.1584,-72.3287,18.76,57,75,4.63,US,1695756182
65,puerto ayora,-0.7393,-90.3518,28.98,90,100,4.02,EC,1695756276
66,pemba,-12.974,40.5178,26.39,78,75,5.66,MZ,1695756482
